ID,Name,Year,Runtime,Genre,Language,IMDBScore,Comment,Link,TMDBkey
1,Escape from New York,1981,99,"Action, Adventure, Sci-Fi",English,7.1,Very enjoyable (and often funny) dystopian action/escape film. Kurt Russell stomping around in an eyepatch. Him and John Carptenter doing what they do best,https://www.imdb.com/title/tt0082340/,
2,Blue Jean,2022,97,"Drama, History",English,7,Rosy McEwen is GREAT as a closeted PE teacher in Thatcher's Britain. Featuring a very solid geordie accent from McEwen. A fantastic feature length debut from Georgia Oakley. One of the best queer Happy Hundies that we've seen,https://www.imdb.com/title/tt8649344/,
3,Eighth Grade,2018,93,"Comedy, Drama",English,7.4,"A funny, sad coming-of-age film that will probably not make you miss being a pre-teen but will make you enjoy",https://www.imdb.com/title/tt7014006/,
4,71,2014,99,"Action, Crime, Drama",English,7.2,"A nervy, tense film set in Belfast against the backdrop of the Troubles",https://www.imdb.com/title/tt2614684/,
5,The Evil Dead,1981,85,Horror,English,7.4,"A classic low-budget ""video nasty"" horror. High levels of gore that got it banned in some countries. Also director Sam Raimi's breakthrough film. He later directed Spider Man but this is not like Spider Man",https://www.imdb.com/title/tt0083907/,
6,Drive,2011,100,"Action, Drama",English,7.8,"Visually great, neo-noir(?) tough nasty but beautiful film. Great performances from Carey Mulligan, Ryan Goslin and Gosling's fancy jacket",https://www.imdb.com/title/tt0780504/,
7,Prey,2022,100,"Action, Adventure, Drama",English,7.1,Have heard divided opinion on this BUT I like it. A Predator film set in the Northern Great Plains in 1719,https://www.imdb.com/title/tt11866324/,
8,Office Space,1999,89,Comedy,English,7.6,An absolute classic film about the mundanity of shit jobs,https://www.imdb.com/title/tt0151804/,
9,This Is Spinal Tap,1984,82,"Comedy, Music",English,7.9,A rocku-mocku-mentary. Turn it up to 11,https://www.imdb.com/title/tt0088258/,
10,Mid90s,2018,85,"Comedy, Drama",English,7.3,A cool coming of age story with some great young actors and some gnarly skateboard tricks,https://www.imdb.com/title/tt5613484/,
11,Halloween,1978,91,"Horror, Thriller",English,7.7,"John Carpenter is maybe the patron saint of Happy Hundies. The man knows how to make a tight, gripping film that will keep you entertained. It's a classic horror film and Jamie Lee Curtis makes her breakout debut role!",https://www.imdb.com/title/tt0077651/,
12,Blue Ruin,2013,90,"Crime, Drama, Thriller",English,7.1,I can't remember much about this film but I know I enjoyed it. I think it was about revenge,https://www.imdb.com/title/tt2359024/,
13,Bodies Bodies Bodies,2022,94,"Comedy, Horror, Thriller",English,6.2,Traverses the tropes of a classic lock-in slasher whodunnit by offering a funny satire of Gen Z and the internet and society etc,https://www.imdb.com/title/tt8110652/,
14,Welcome to the Dollhouse,1995,88,"Comedy, Drama",English,7.4,A coming-of-age comedy that will not make you yearn for your days of youth,https://www.imdb.com/title/tt0114906/,
15,Funny Pages,2022,86,Comedy,English,6.2,Comment coming soon!,https://www.imdb.com/title/tt8174412/,
16,The Witch,2015,92,"Drama, Fantasy, Horror",English,7,"This is an absolute banger. Dark, folk horror-y. Features stellar performances from a cast including Anya Taylor-Joy and the gravel-voiced Ralph Ineson aka Chris Finch from the Office (UK!)",https://www.imdb.com/title/tt4263482/,
17,Shiva Baby,2020,77,"Comedy, Drama",English,7.1,Funny & uncomfortable. Rachel Sennott is great in this,https://www.imdb.com/title/tt11317142/,
18,"I, Daniel Blake",2016,100,Drama,English,7.8,A sad film with a powerful critique of cruel government policy. One watch is enough for me but you have to watch it!,https://www.imdb.com/title/tt5168192/,
19,Green Room,2015,95,"Crime, Drama, Horror",English,7,"A horror film featuring rock music and neo-Nazis, what's not to like? (Apart from neo-Nazis!!)",https://www.imdb.com/title/tt4062536/,
20,Kimi,2022,89,"Crime, Drama, Thriller",English,6.3,We are Zoe Kravtiz fans here at Happy Hundies. A thriller about how tech can be bad? Sounds implausible but we'll go with it,https://www.imdb.com/title/tt14128670/,
21,Space Jam,1996,88,"Animation, Adventure, Comedy, Family",English,6.5,"Everybody get up it's time to slam now
We got a real jam goin' down
Welcome to the Space Jam. One for the nostalgia heads and young heads. Watched this again at a cinema recently and had a great time",https://www.imdb.com/title/tt0117705/,
22,Evil Dead Rise,2023,96,Horror,English,6.6,"In our opinion, a well-made contribution to the classic Evil Dead franchise. Can be enjoyed on its own or, even better, after watching the originals ",https://www.imdb.com/title/tt13345606/,
23,The Wicker Man,1973,88,"Horror, Mystery, Thriller",English,7.5,"Wowza, folk horror at its absolute best. This is the originator for a reason",https://www.imdb.com/title/tt0070917/,
24,Dead Man's Shoes,2004,90,"Crime, Drama, Thriller",English,7.6,Dark gritty revenge flick set in Derbyshire. Featuring compelling improvised dialogue. Also quite sad. This film did not make me happy but it is a Happy Hundy,https://www.imdb.com/title/tt0419677/,
25,The Quiet Girl,2022,95,Drama,Irish,7.7,"Excellent, excellent Irish-language film. Slow, quiet and lingering but never boring. Catherine Clinch is great and, despite being so young, conveys so much emotion",https://www.imdb.com/title/tt15109082/,
26,Easy Rider,1969,95,"Adventure, Drama",English,7.3,A hazy drug-addled counter-cultural road movie on motorbikes with a great soundtrack and a top-notch cast of Hollywood heavy hitters,https://www.imdb.com/title/tt0064276/,
